farmid,year,prod,area,labor,fert,educ
301,1990,7.87,2.50,161,207.5,10
301,1991,7.18,2.50,138,295.5,10
301,1992,8.92,2.50,140,362.5,10
301,1993,7.31,2.50,127,338.0,10
301,1994,7.54,2.50,145,337.5,10
301,1995,4.51,2.50,123,207.2,10
301,1996,4.37,2.25,124,345.0,10
301,1997,7.27,2.15,87,222.8,10
302,1990,10.35,3.80,184,303.5,6
302,1991,10.21,3.80,151,206.0,6
302,1992,13.29,3.80,185,374.5,6
302,1993,18.58,3.80,262,421.0,6
302,1994,17.07,3.80,174,595.7,6
302,1995,16.61,4.25,244,234.8,6
302,1996,12.28,4.25,160,479.0,6
302,1997,14.20,3.75,133,170.0,6
303,1990,9.98,3.40,170,252.0,10
303,1991,10.44,4.30,147,444.0,10
303,1992,10.40,4.30,198,283.5,10
303,1993,8.92,4.30,189,287.0,10
303,1994,7.36,4.30,215,294.0,10
303,1995,10.17,2.80,119,361.8,10
303,1996,5.43,4.30,163,250.5,10
303,1997,10.95,3.55,147,246.5,10
304,1990,4.83,1.40,68,88.0,6
304,1991,3.13,1.40,88,52.5,6
304,1992,5.84,1.40,54,52.5,6
304,1993,4.88,1.40,75,71.0,6
304,1994,4.46,1.40,74,69.8,6
304,1995,4.37,1.40,84,116.5,6
304,1996,4.14,1.40,64,134.2,6
304,1997,3.91,1.40,54,104.7,10
305,1990,8.74,3.60,130,149.8,6
305,1991,9.19,3.60,152,204.0,6
305,1992,9.84,3.60,152,198.8,6
305,1993,10.95,3.60,163,218.0,6
305,1994,8.00,3.60,145,221.3,6
305,1995,8.92,3.40,180,146.6,6
305,1996,9.20,3.40,148,262.8,6
305,1997,11.04,3.10,225,164.3,6
306,1990,1.84,0.50,34,21.0,10
306,1991,0.97,0.50,17,21.0,10
306,1992,1.70,0.50,25,47.5,10
306,1993,1.24,0.50,30,31.0,10
306,1994,1.56,0.50,37,28.5,10
306,1995,1.47,0.50,18,35.7,10
306,1996,1.01,0.50,16,44.8,6
306,1997,1.84,0.50,39,59.8,6
307,1990,7.36,1.75,91,243.0,10
307,1991,7.82,1.75,88,218.0,10
307,1992,7.59,1.75,82,309.0,10
307,1993,7.64,1.75,84,178.0,10
307,1994,6.58,1.75,93,240.0,10
307,1995,13.06,3.75,211,555.0,10
307,1996,9.94,3.75,141,415.0,10
307,1997,8.28,1.75,87,310.0,10
308,1990,6.67,1.70,114,154.6,6
308,1991,5.84,1.70,82,158.3,6
308,1992,4.55,1.70,102,191.8,6
308,1993,6.35,1.70,114,195.0,6
308,1994,5.84,1.70,100,172.5,6
308,1995,4.91,1.70,89,299.5,6
308,1996,4.28,1.70,143,210.2,6
308,1997,6.62,1.70,100,205.5,6
309,1990,9.20,3.00,211,166.4,10
309,1991,9.89,3.00,160,178.5,10
309,1992,9.89,3.00,141,253.0,10
309,1993,8.97,3.00,211,183.0,10
309,1994,8.42,3.00,136,210.0,10
309,1995,7.82,3.00,200,189.0,10
309,1996,7.82,3.00,97,231.8,10
309,1997,8.65,3.00,91,172.0,10
310,1990,9.29,3.40,192,253.8,6
310,1991,8.56,3.40,152,318.5,6
310,1992,12.19,3.40,175,283.0,6
310,1993,11.22,3.15,147,253.0,6
310,1994,5.70,2.70,142,283.5,6
310,1995,10.58,2.70,132,290.1,6
310,1996,8.60,2.70,179,331.0,6
310,1997,12.56,2.70,209,320.5,6
311,1990,0.83,0.55,36,40.2,6
311,1991,1.10,0.55,49,71.8,6
311,1992,1.38,0.60,33,55.5,6
311,1993,3.04,1.55,58,43.0,6
311,1994,1.98,1.55,50,43.5,6
311,1995,4.00,1.55,61,95.6,6
311,1996,1.93,1.55,59,82.1,6
311,1997,3.83,1.55,57,98.9,6
312,1990,0.92,0.20,13,16.8,6
312,1991,0.92,0.20,26,16.8,6
312,1992,0.92,0.20,15,37.0,6
312,1993,1.29,0.20,11,24.8,6
312,1994,0.78,0.20,18,26.4,6
312,1995,1.17,0.25,17,11.6,6
312,1996,1.43,0.25,27,23.1,6
312,1997,1.70,0.25,20,30.6,6
313,1990,3.91,1.25,80,66.0,10
313,1991,2.85,1.25,80,70.5,10
313,1992,3.96,1.25,82,73.5,10
313,1993,3.45,1.25,111,81.0,10
313,1994,3.04,1.25,85,147.0,10
313,1995,3.50,1.25,87,69.4,10
313,1996,3.65,1.25,54,135.5,10
313,1997,4.74,1.25,76,129.6,10
314,1990,7.45,3.00,155,135.0,10
314,1991,6.30,3.00,123,156.7,10
314,1992,6.39,3.00,96,121.5,10
314,1993,5.98,1.80,114,111.0,10
314,1994,5.29,1.80,83,97.5,10
314,1995,5.20,1.60,89,130.0,10
314,1996,5.06,1.40,63,101.8,10
314,1997,4.88,1.40,70,121.6,10
315,1990,0.92,0.30,15,31.5,6
315,1991,0.92,0.30,16,31.5,6
315,1992,0.83,0.30,21,30.3,6
315,1993,1.01,0.30,20,20.0,6
315,1994,1.01,0.30,21,21.0,6
315,1995,0.97,0.30,16,22.3,6
315,1996,0.37,0.30,13,27.9,6
315,1997,0.69,0.30,16,22.7,6
316,1990,1.15,0.60,34,44.0,6
316,1991,2.12,0.60,28,42.0,6
316,1992,2.35,0.60,27,132.0,6
316,1993,1.84,0.60,27,31.0,6
316,1994,2.21,0.60,27,42.0,6
316,1995,2.30,0.60,38,23.8,6
316,1996,1.79,0.60,19,22.1,6
316,1997,1.98,0.60,27,23.1,6
317,1990,10.81,4.05,279,286.6,6
317,1991,5.98,4.05,280,337.0,6
317,1992,16.47,4.05,250,536.5,6
317,1993,17.99,3.55,200,467.0,6
317,1994,19.92,3.55,216,414.0,6
317,1995,19.73,3.55,232,609.3,6
317,1996,10.12,3.55,178,1005.6,6
317,1997,14.03,3.55,144,445.0,6
318,1990,21.07,5.50,306,462.0,6
318,1991,18.12,5.50,286,506.0,6
318,1992,21.85,5.50,335,549.0,6
318,1993,20.24,5.50,304,569.6,6
318,1994,21.07,5.50,381,557.3,6
318,1995,26.54,7.00,437,845.1,6
318,1996,22.72,7.00,387,730.2,6
318,1997,31.10,7.00,407,624.9,6
319,1990,13.57,4.00,229,218.0,10
319,1991,15.32,4.00,208,218.0,10
319,1992,15.87,4.00,215,564.0,10
319,1993,6.21,4.00,206,352.0,10
319,1994,12.93,4.00,199,306.0,10
319,1995,16.00,4.00,217,378.6,10
319,1996,6.44,4.00,270,478.0,10
319,1997,21.70,4.00,192,515.5,10
320,1990,12.24,3.50,237,260.5,6
320,1991,13.11,3.50,197,316.6,6
320,1992,14.63,3.50,186,526.0,6
320,1993,12.42,3.50,175,437.3,6
320,1994,12.93,3.50,212,331.5,6
320,1995,12.37,3.50,224,428.1,6
320,1996,11.22,3.50,200,445.0,6
320,1997,14.81,3.50,212,391.7,6
321,1990,5.11,3.00,103,144.5,6
321,1991,5.84,3.50,129,312.0,6
321,1992,10.35,3.50,144,132.0,6
321,1993,4.46,3.50,112,106.0,6
321,1994,7.87,3.50,156,126.0,6
321,1995,14.16,3.50,180,260.0,6
321,1996,11.27,3.50,140,215.9,6
321,1997,9.43,3.50,176,199.5,6
322,1990,5.43,1.38,86,100.5,6
322,1991,4.28,1.38,95,100.5,6
322,1992,5.93,1.38,105,100.5,6
322,1993,6.44,1.38,120,99.5,6
322,1994,3.13,1.38,86,131.3,6
322,1995,3.68,1.38,110,140.5,6
322,1996,3.91,1.38,108,170.1,6
322,1997,4.60,1.38,64,192.5,6
323,1990,9.66,5.50,200,423.5,6
323,1991,12.88,5.50,204,599.5,6
323,1992,16.56,5.50,209,615.5,6
323,1993,8.28,5.50,178,532.0,6
323,1994,15.18,5.50,224,540.0,6
323,1995,18.00,5.50,274,745.0,6
323,1996,10.58,5.50,291,1030.9,6
323,1997,19.09,5.50,341,660.0,6
324,1990,7.22,2.70,122,190.5,6
324,1991,5.93,2.70,92,192.5,6
324,1992,10.07,2.70,142,234.0,6
324,1993,6.55,2.70,129,82.0,6
324,1994,3.91,2.70,139.7,202.8,6
324,1995,8.60,2.70,178,272.4,6
324,1996,4.88,2.70,134,179.5,6
324,1997,5.15,2.70,181,269.0,6
325,1990,12.47,4.50,194,490.5,11
325,1991,13.75,4.50,152,423.5,11
325,1992,14.90,4.50,185,427.0,11
325,1993,14.86,4.50,174,346.3,11
325,1994,8.60,4.50,220,577.5,11
325,1995,12.05,4.50,234,707.8,11
325,1996,10.44,4.50,176,335.0,11
325,1997,16.05,4.50,166,267.8,11
326,1990,3.17,1.10,61,80.9,6
326,1991,2.53,1.10,70,67.0,6
326,1992,4.32,1.10,74,105.0,6
326,1993,3.17,1.10,71,123.0,6
326,1994,4.09,1.10,46,121.5,6
326,1995,4.14,1.10,48,131.4,6
326,1996,3.22,1.10,43,120.2,6
326,1997,4.28,1.10,42,139.7,6
327,1990,5.06,2.50,117,274.5,6
327,1991,5.98,2.50,68,155.2,6
327,1992,8.92,2.50,105,332.5,6
327,1993,3.73,1.30,55,154.0,6
327,1994,2.76,1.30,54,87.0,6
327,1995,5.11,1.30,64,202.9,6
327,1996,3.31,1.30,67,197.0,6
327,1997,9.34,2.50,122,188.6,6
328,1990,5.52,1.40,78,128.8,6
328,1991,6.39,1.40,75,157.0,6
328,1992,6.53,1.40,94,123.5,6
328,1993,5.66,1.30,91,191.0,6
328,1994,5.29,1.30,78,144.0,6
328,1995,5.38,1.30,91,172.4,6
328,1996,2.53,0.50,44,67.8,6
328,1997,2.76,0.50,41,70.2,6
329,1990,4.14,2.00,84,63.0,6
329,1991,2.81,2.00,54,67.0,6
329,1992,3.04,2.00,42,42.0,6
329,1993,6.90,2.00,80,126.0,6
329,1994,3.17,2.00,90,73.5,6
329,1995,2.66,1.50,201,179.5,6
329,1996,3.63,1.50,68,143.9,6
329,1997,6.05,2.00,61,174.0,6
330,1990,2.69,2.50,30,65.0,6
330,1991,3.17,1.75,42,75.5,6
330,1992,0.87,0.40,29,10.5,6
330,1993,1.20,0.40,26,20.0,6
330,1994,1.06,0.40,20,21.0,6
330,1995,0.95,0.40,16,22.3,6
330,1996,1.06,0.40,27,35.7,6
330,1997,0.09,0.25,8,13.0,14
331,1990,3.82,0.75,39,44.0,6
331,1991,1.79,0.75,45,44.0,6
331,1992,2.81,0.75,35,42.0,6
331,1993,2.53,0.75,72,56.0,6
331,1994,2.35,0.75,32,31.5,6
331,1995,3.13,0.75,31,69.8,6
331,1996,1.06,0.75,26,48.1,6
331,1997,3.62,0.75,22,48.1,6
332,1990,1.15,0.81,25,67.0,10
332,1991,2.30,0.81,31,67.0,10
332,1992,2.81,0.81,32,54.5,10
332,1993,3.53,0.81,72,69.3,10
332,1994,2.38,0.81,36,67.2,10
332,1995,1.51,0.61,50,70.6,10
332,1996,1.84,0.61,30,90.5,10
332,1997,6.16,0.81,43,73.2,10
333,1990,5.06,1.60,102,110.5,6
333,1991,5.06,1.60,102,120.5,6
333,1992,4.55,1.60,80,102.0,6
333,1993,2.30,0.60,51,41.0,6
333,1994,5.15,1.40,52,132.0,6
333,1995,2.54,0.60,29,91.3,6
333,1996,1.33,0.60,23,57.6,6
333,1997,2.80,0.60,36,47.7,6
334,1990,0.69,1.00,29,21.0,6
334,1991,0.64,1.00,22,21.0,6
334,1992,1.15,1.00,31,23.0,6
334,1993,1.66,1.00,63,10.0,6
334,1994,0.60,1.00,18,10.5,6
334,1995,2.00,1.00,46,73.1,6
334,1996,1.89,1.00,48,83.9,6
334,1997,1.93,1.00,28,170.3,6
335,1990,12.65,3.00,191,306.5,6
335,1991,7.54,2.00,89,157.5,6
335,1992,6.95,2.00,122,105.0,6
335,1993,6.49,2.00,121,111.0,6
335,1994,5.61,2.00,135,261.0,6
335,1995,7.77,2.40,152,256.0,6
335,1996,8.91,2.40,146,224.9,6
335,1997,10.72,2.40,136,216.3,6
336,1990,2.07,1.10,101,125.5,6
336,1991,3.08,1.10,79,102.4,6
336,1992,2.94,1.10,69,67.0,6
336,1993,4.83,2.10,104,165.0,6
336,1994,4.83,2.10,120,133.5,6
336,1995,4.83,2.10,92,118.0,6
336,1996,3.82,2.10,89,138.3,6
336,1997,7.64,2.10,86,204.4,6
337,1990,5.06,1.00,58,145.0,10
337,1991,5.29,1.00,74,144.5,10
337,1992,5.52,1.00,51,194.5,10
337,1993,5.75,1.00,59,264.0,10
337,1994,3.17,1.00,60,63.0,10
337,1995,3.91,1.00,61,121.4,10
337,1996,2.21,1.00,43,44.0,10
337,1997,3.22,1.00,54,67.5,10
338,1990,17.02,4.60,246,249.0,10
338,1991,13.71,4.60,236,262.0,10
338,1992,16.24,4.60,219,375.5,10
338,1993,12.17,4.60,139,193.0,10
338,1994,9.89,4.60,193,379.5,10
338,1995,2.90,0.60,37,69.7,10
338,1996,2.35,0.60,33,68.2,10
338,1997,3.68,0.60,26,73.4,10
339,1990,1.38,0.80,46,33.5,6
339,1991,0.92,0.80,30,33.5,6
339,1992,1.38,0.80,27,21.0,6
339,1993,1.84,0.80,34,20.0,6
339,1994,1.61,0.40,22,21.0,6
339,1995,1.53,0.40,20,31.9,6
339,1996,1.10,0.40,27,46.1,6
339,1997,1.52,0.80,26,24.4,6
340,1990,3.96,1.75,113,167.5,6
340,1991,3.36,1.75,99,167.5,6
340,1992,4.00,1.75,78,151.0,6
340,1993,4.46,1.75,99,151.5,6
340,1994,4.83,1.75,124,150.0,6
340,1995,5.11,1.75,158,149.0,6
340,1996,2.76,1.50,78,156.3,6
340,1997,5.50,1.75,62,180.9,6
341,1990,4.14,1.30,80,79.5,6
341,1991,5.06,1.30,70,67.0,6
341,1992,5.06,1.30,73,68.5,6
341,1993,3.68,1.30,62,30.0,6
341,1994,2.30,1.30,50,31.5,6
341,1995,4.60,1.30,73,22.7,6
341,1996,2.76,1.30,50,36.5,6
341,1997,5.29,1.30,51,54.2,6
342,1990,8.60,2.30,76,109.0,10
342,1991,7.64,2.30,85,132.0,10
342,1992,7.54,2.30,83,161.0,10
342,1993,5.11,2.30,60,114.9,10
342,1994,3.59,1.65,62,99.8,10
342,1995,7.22,2.30,126,237.0,10
342,1996,4.97,2.30,74,157.1,10
342,1997,7.68,2.30,82,205.0,10
343,1990,1.79,1.50,87,94.5,6
343,1991,1.75,1.50,90,115.5,6
343,1992,2.71,1.00,66,70.3,6
343,1993,3.31,2.00,67,68.0,6
343,1994,5.61,2.00,96,94.5,6
343,1995,7.78,1.75,97,129.4,6
343,1996,3.70,1.75,35,107.1,6
343,1997,7.73,2.00,81,118.4,6
